# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.010001   20017   20064     -2.94      1280    1072
    2    0.030001   19934   20086     -2.82      1041     880
    3    0.0500007   20003   20019      -2.7      1325    1278
    4    0.0700005   20205   19979     -2.58      1785    1715
    5    0.0900002   20269   20133     -2.46      2340    2353
    6     0.11   20029   20074     -2.34      3058    3119
    7     0.13   20138   20139     -2.22      4205    4057
    8     0.15   20066   19743      -2.1      5312    5287
    9     0.17   20088   20209     -1.98      6560    6774
   10     0.19   19829   20034     -1.86      8591    8558
   11     0.21   20022   20100     -1.74     10609   10375
   12     0.23   20294   19894     -1.62     12790   12866
   13     0.25   19891   19871      -1.5     15573   15729
   14     0.27   20159   19865     -1.38     18394   18489
   15     0.29   20063   20005     -1.26     21847   21636
   16     0.31   20169   19808     -1.14     24758   24947
   17     0.33   20083   19909     -1.02     28470   28173
   18     0.35   20097   19942      -0.9     31942   31858
   19     0.37   19996   20154     -0.78     34985   35071
   20     0.39   19981   19899     -0.66     38706   38363
   21     0.41   20222   19898     -0.54     41624   41407
   22     0.43   19849   19912     -0.42     44069   44081
   23     0.45   19966   19919      -0.3     45656   45967
   24     0.47   19855   19924     -0.18     47719   47153
   25     0.49   19889   19983     -0.06     47450   47996
   26     0.51   19880   19952      0.06     48010   47384
   27     0.53   19964   19958      0.18     46866   46777
   28     0.55   20182   19793       0.3     45621   45881
   29     0.57   19904   20153      0.42     43695   44059
   30     0.59   19948   19839      0.54     41455   41291
   31     0.61   19796   20121      0.66     38560   38693
   32     0.63   19915   19865      0.78     35264   35429
   33     0.65   20010   20291       0.9     31991   31757
   34     0.67   20058   20173      1.02     28612   28507
   35     0.69   19877   20370      1.14     25082   24797
   36     0.71   20007   20174      1.26     21541   21724
   37     0.73   20007   20062      1.38     18432   18363
   38     0.75   20042   19996       1.5     15362   15660
   39     0.77   19844   20086      1.62     12887   12954
   40     0.79   20079   20119      1.74     10506   10736
   41     0.81   20014   19952      1.86      8393    8296
   42     0.83   20034   19812      1.98      6811    6799
   43     0.85   20030   19740       2.1      5162    5345
   44     0.87   19683   19862      2.22      4067    4018
   45     0.89   20089   20053     2.34001      3102    3243
   46     0.91   19994   20164     2.46001      2312    2362
   47     0.93   20103   20018     2.58004      1723    1743
   48     0.95   19965   20031     2.70012      1211    1350
   49     0.97   19748   19738     2.82026       917     974
   50     0.99   19713   20115     2.94062       627     827
